benchmark,family,result
mbo_E17,20161105-Sturm-MBO,unsat
mbo_E18E19,20161105-Sturm-MBO,unsat
mbo_E18E20,20161105-Sturm-MBO,timeout
mbo_E18E21,20161105-Sturm-MBO,timeout
mbo_E18E22,20161105-Sturm-MBO,unsat
mbo_E18E23,20161105-Sturm-MBO,unsat
mbo_E18E24,20161105-Sturm-MBO,unsat
mbo_E18E25,20161105-Sturm-MBO,timeout
mbo_E18E26,20161105-Sturm-MBO,timeout
mbo_E18E27,20161105-Sturm-MBO,unsat
mbo_E18E28,20161105-Sturm-MBO,unsat
mbo_E18,20161105-Sturm-MBO,unsat
mbo_E19E20,20161105-Sturm-MBO,unsat
mbo_E19E21,20161105-Sturm-MBO,unsat
mbo_E19E22,20161105-Sturm-MBO,unsat
mbo_E19E23,20161105-Sturm-MBO,unsat
mbo_E19E24,20161105-Sturm-MBO,unsat
mbo_E19E25,20161105-Sturm-MBO,unsat
mbo_E19E26,20161105-Sturm-MBO,unsat
mbo_E19E27,20161105-Sturm-MBO,unsat
mbo_E19E28,20161105-Sturm-MBO,unsat
mbo_E19,20161105-Sturm-MBO,unsat
mbo_E1E10,20161105-Sturm-MBO,timeout
mbo_E1E11,20161105-Sturm-MBO,unsat
mbo_E1E12,20161105-Sturm-MBO,unsat
mbo_E1E13,20161105-Sturm-MBO,unsat
mbo_E1E14,20161105-Sturm-MBO,timeout
mbo_E1E15,20161105-Sturm-MBO,unsat
mbo_E1E16,20161105-Sturm-MBO,timeout
mbo_E1E17,20161105-Sturm-MBO,timeout
mbo_E1E18,20161105-Sturm-MBO,timeout
mbo_E1E19,20161105-Sturm-MBO,unsat
mbo_E1E20,20161105-Sturm-MBO,unsat
mbo_E1E21,20161105-Sturm-MBO,timeout
mbo_E1E22,20161105-Sturm-MBO,unsat
mbo_E1E23,20161105-Sturm-MBO,unsat
mbo_E1E24,20161105-Sturm-MBO,unsat
mbo_E1E25,20161105-Sturm-MBO,unsat
mbo_E1E26,20161105-Sturm-MBO,unsat
mbo_E1E27,20161105-Sturm-MBO,unsat
mbo_E1E28,20161105-Sturm-MBO,unsat
mbo_E1E2,20161105-Sturm-MBO,unsat
mbo_E1E3,20161105-Sturm-MBO,unsat
mbo_E1E4,20161105-Sturm-MBO,timeout
mbo_E1E5,20161105-Sturm-MBO,unsat
mbo_E1E6,20161105-Sturm-MBO,timeout
mbo_E1E7,20161105-Sturm-MBO,unsat
mbo_E1E8,20161105-Sturm-MBO,unsat
mbo_E1E9,20161105-Sturm-MBO,timeout
mbo_E1,20161105-Sturm-MBO,unsat
mbo_E20E21,20161105-Sturm-MBO,unsat
mbo_E20E22,20161105-Sturm-MBO,unsat
mbo_E20E23,20161105-Sturm-MBO,unsat
mbo_E20E24,20161105-Sturm-MBO,unsat
mbo_E20E25,20161105-Sturm-MBO,unsat
mbo_E20E26,20161105-Sturm-MBO,unsat
mbo_E20E27,20161105-Sturm-MBO,unsat
mbo_E20E28,20161105-Sturm-MBO,unsat
mbo_E20,20161105-Sturm-MBO,unsat
mbo_E21E22,20161105-Sturm-MBO,timeout
mbo_E21E23,20161105-Sturm-MBO,unsat
mbo_E21E24,20161105-Sturm-MBO,unsat
mbo_E21E25,20161105-Sturm-MBO,timeout
mbo_E21E26,20161105-Sturm-MBO,unsat
mbo_E21E27,20161105-Sturm-MBO,unsat
mbo_E21E28,20161105-Sturm-MBO,unsat
mbo_E21,20161105-Sturm-MBO,unsat
mbo_E22E23,20161105-Sturm-MBO,unsat
mbo_E22E24,20161105-Sturm-MBO,unsat
mbo_E22E25,20161105-Sturm-MBO,unsat
mbo_E22E26,20161105-Sturm-MBO,unsat
mbo_E22E27,20161105-Sturm-MBO,unsat
mbo_E22E28,20161105-Sturm-MBO,unsat
mbo_E22,20161105-Sturm-MBO,unsat
mbo_E23E24,20161105-Sturm-MBO,unsat
mbo_E23E25,20161105-Sturm-MBO,unsat
mbo_E23E26,20161105-Sturm-MBO,unsat
mbo_E23E27,20161105-Sturm-MBO,unsat
mbo_E23E28,20161105-Sturm-MBO,unsat
mbo_E23,20161105-Sturm-MBO,unsat
mbo_E24E25,20161105-Sturm-MBO,unsat
mbo_E24E26,20161105-Sturm-MBO,unsat
mbo_E24E27,20161105-Sturm-MBO,unsat
mbo_E24E28,20161105-Sturm-MBO,unsat
mbo_E24,20161105-Sturm-MBO,unsat
mbo_E25E26,20161105-Sturm-MBO,unsat
mbo_E25E27,20161105-Sturm-MBO,unsat
mbo_E25E28,20161105-Sturm-MBO,unsat
mbo_E25,20161105-Sturm-MBO,unsat
mbo_E26E27,20161105-Sturm-MBO,unsat
mbo_E26E28,20161105-Sturm-MBO,unsat
mbo_E26,20161105-Sturm-MBO,unsat
mbo_E27E28,20161105-Sturm-MBO,unsat
mbo_E27,20161105-Sturm-MBO,unsat
mbo_E28,20161105-Sturm-MBO,unsat
mbo_E2E10,20161105-Sturm-MBO,timeout
mbo_E2E11,20161105-Sturm-MBO,unsat
mbo_E2E12,20161105-Sturm-MBO,unsat
mbo_E2E13,20161105-Sturm-MBO,unsat
mbo_E2E14,20161105-Sturm-MBO,timeout
mbo_E2E15,20161105-Sturm-MBO,unsat
mbo_E2E16,20161105-Sturm-MBO,timeout
mbo_E2E17,20161105-Sturm-MBO,timeout
mbo_E2E18,20161105-Sturm-MBO,unsat
mbo_E2E19,20161105-Sturm-MBO,unsat
mbo_E2E20,20161105-Sturm-MBO,timeout
mbo_E2E21,20161105-Sturm-MBO,timeout
mbo_E2E22,20161105-Sturm-MBO,unsat
mbo_E2E23,20161105-Sturm-MBO,unsat
mbo_E2E24,20161105-Sturm-MBO,unsat
mbo_E2E25,20161105-Sturm-MBO,unsat
mbo_E2E26,20161105-Sturm-MBO,unsat
mbo_E2E27,20161105-Sturm-MBO,unsat
mbo_E2E28,20161105-Sturm-MBO,unsat
mbo_E2E3,20161105-Sturm-MBO,unsat
mbo_E2E4,20161105-Sturm-MBO,unsat
mbo_E2E5,20161105-Sturm-MBO,unsat
mbo_E2E6,20161105-Sturm-MBO,unsat
mbo_E2E7,20161105-Sturm-MBO,unsat
mbo_E2E8,20161105-Sturm-MBO,unsat
mbo_E2E9,20161105-Sturm-MBO,timeout
mbo_E2,20161105-Sturm-MBO,unsat
mbo_E3E10,20161105-Sturm-MBO,timeout
mbo_E3E11,20161105-Sturm-MBO,unsat
mbo_E3E12,20161105-Sturm-MBO,unsat
mbo_E3E13,20161105-Sturm-MBO,unsat
mbo_E3E14,20161105-Sturm-MBO,timeout
mbo_E3E15,20161105-Sturm-MBO,unsat
